Comment,Designator,Footprint,LibRef,Quantity

"100nF","C1","C0603","CL10B104KB8NNNC","1"
"AFC01-S08FCA-00","FPC1","FPC-SMD_P0.50-8P_FGS-XJ-H2.0","AFC01-S08FCA-00","1"
"SS8050","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","SS8050_C541705","1"
"10¦¸","R1","R0603","0603WAF100JT5E","1"
"1k¦¸","R2","R0603","0603WAF1001T5E","1"
"10k¦¸","R3","R0603","0603WAF1002T5E","1"
"IPS130-12","U1","FPC_0.7-12P_SMT","IPS130-12","1"
